startdate,enddate,theisen,p5max,p10max,p15max,p30max,p60max,ei
8/10/2012 5:37,8/10/2012 5:38,0.009,-9,-9,-9,-9,-9,-9
8/13/2012 21:06,8/13/2012 21:43,0.018,0.108,0.054,0.036,0.018,-9,0.003
8/16/2012 4:56,8/16/2012 6:16,0.063,0.108,0.108,0.072,0.054,0.045,0.028
8/16/2012 8:18,8/16/2012 9:33,0.525,1.44,1.206,0.984,0.708,0.498,3.249
8/19/2012 14:12,8/19/2012 14:22,0.054,0.432,0.324,-9,-9,-9,-9
8/23/2012 7:33,8/23/2012 7:34,0.009,-9,-9,-9,-9,-9,-9
8/26/2012 7:03,8/26/2012 12:13,0.306,0.54,0.432,0.324,0.252,0.153,0.638
8/27/2012 2:28,8/27/2012 2:29,0.009,-9,-9,-9,-9,-9,-9
9/7/2012 8:38,9/7/2012 15:34,0.234,0.324,0.216,0.216,0.162,0.135,0.314
9/7/2012 19:19,9/7/2012 19:33,0.018,0.108,0.054,-9,-9,-9,-9
9/8/2012 2:24,9/8/2012 2:25,0.009,-9,-9,-9,-9,-9,-9
9/8/2012 17:34,9/8/2012 20:34,0.081,0.216,0.162,0.108,0.072,0.045,0.048
9/17/2012 17:13,9/17/2012 18:08,0.063,0.216,0.162,0.144,0.108,-9,0.056
9/17/2012 22:01,9/17/2012 22:21,0.018,0.108,0.054,0.036,-9,-9,-9
9/18/2012 13:08,9/18/2012 13:09,0.009,-9,-9,-9,-9,-9,-9
9/19/2012 10:44,9/19/2012 10:45,0.009,-9,-9,-9,-9,-9,-9
9/19/2012 20:04,9/19/2012 21:24,0.117,0.54,0.324,0.216,0.18,0.108,0.181
9/21/2012 18:08,9/21/2012 18:47,0.054,0.216,0.162,0.144,0.09,-9,0.04
9/21/2012 21:00,9/21/2012 21:01,0.009,-9,-9,-9,-9,-9,-9
9/22/2012 13:28,9/22/2012 13:29,0.009,-9,-9,-9,-9,-9,-9
10/9/2012 8:49,10/9/2012 12:00,0.063,0.108,0.054,0.036,0.036,0.027,0.019
10/9/2012 14:24,10/9/2012 18:06,0.333,0.216,0.162,0.18,0.162,0.144,0.446
10/9/2012 21:35,10/9/2012 21:36,0.009,-9,-9,-9,-9,-9,-9
10/13/2012 3:20,10/13/2012 15:53,1.359,0.756,0.648,0.576,0.522,0.459,5.935
10/13/2012 21:15,10/13/2012 21:16,0.009,-9,-9,-9,-9,-9,-9
10/14/2012 4:49,10/15/2012 0:47,2.457,0.864,0.81,0.72,0.648,0.477,13.302
10/17/2012 18:45,10/18/2012 0:50,0.63,0.54,0.432,0.396,0.342,0.315,1.783
10/18/2012 3:12,10/18/2012 3:41,0.018,0.108,0.054,0.036,-9,-9,-9
10/18/2012 9:16,10/18/2012 9:17,0.009,-9,-9,-9,-9,-9,-9
10/18/2012 13:12,10/18/2012 13:15,0.018,-9,-9,-9,-9,-9,-9
10/18/2012 17:01,10/18/2012 17:02,0.009,-9,-9,-9,-9,-9,-9
10/19/2012 2:59,10/19/2012 3:00,0.009,-9,-9,-9,-9,-9,-9
10/19/2012 9:15,10/19/2012 9:16,0.009,-9,-9,-9,-9,-9,-9
10/19/2012 11:16,10/19/2012 12:58,0.018,0.108,0.054,0.036,0.018,0.009,0.003
10/19/2012 20:03,10/19/2012 20:42,0.036,0.108,0.108,0.072,0.054,-9,0.016
10/25/2012 16:07,10/25/2012 19:34,0.415,0.984,0.654,0.508,0.344,0.235,1.234
11/6/2012 17:16,11/6/2012 18:54,0.027,0.108,0.054,0.036,0.018,0.018,0.004
11/7/2012 7:35,11/7/2012 7:36,0.009,-9,-9,-9,-9,-9,-9
11/7/2012 12:43,11/7/2012 12:44,0.009,-9,-9,-9,-9,-9,-9
11/10/2012 4:56,11/10/2012 5:28,0.018,0.108,0.054,0.036,0.018,-9,0.003
11/11/2012 14:34,11/11/2012 22:21,0.837,0.648,0.432,0.324,0.27,0.189,1.88
11/26/2012 11:47,11/26/2012 11:48,0.009,-9,-9,-9,-9,-9,-9
11/30/2012 8:33,11/30/2012 8:34,0.009,-9,-9,-9,-9,-9,-9
12/3/2012 15:30,12/3/2012 16:15,0.054,0.216,0.162,0.144,0.09,-9,0.04
12/6/2012 11:45,12/6/2012 11:46,0.009,-9,-9,-9,-9,-9,-9
12/15/2012 10:05,12/15/2012 17:29,0.216,0.216,0.162,0.144,0.144,0.099,0.257
12/15/2012 19:50,12/15/2012 19:51,0.009,-9,-9,-9,-9,-9,-9
12/16/2012 5:32,12/16/2012 10:10,0.063,0.108,0.054,0.036,0.036,0.027,0.019
1/10/2013 19:20,1/11/2013 2:07,0.252,0.216,0.162,0.144,0.126,0.09,0.263
1/11/2013 7:20,1/11/2013 7:21,0.009,-9,-9,-9,-9,-9,-9
1/28/2013 2:35,1/28/2013 11:21,0.225,0.108,0.108,0.072,0.054,0.045,0.101
1/28/2013 13:30,1/28/2013 13:31,0.009,-9,-9,-9,-9,-9,-9
1/29/2013 1:28,1/29/2013 3:26,0.396,0.756,0.594,0.504,0.396,0.324,1.312
1/29/2013 6:37,1/29/2013 8:39,0.118,0.66,0.438,0.364,0.2,0.1,0.204
1/29/2013 14:47,1/30/2013 0:38,0.126,0.108,0.108,0.072,0.036,0.027,0.038
2/10/2013 10:21,2/10/2013 18:19,0.603,0.432,0.324,0.288,0.234,0.189,1.168
2/10/2013 20:32,2/10/2013 20:39,0.018,0.108,-9,-9,-9,-9,-9
2/11/2013 2:04,2/11/2013 3:53,0.027,0.108,0.054,0.036,0.036,0.018,0.008
2/11/2013 12:30,2/11/2013 12:31,0.009,-9,-9,-9,-9,-9,-9
2/18/2013 18:35,2/18/2013 20:59,0.09,0.108,0.108,0.072,0.072,0.054,0.054
3/9/2013 10:10,3/9/2013 10:46,0.036,0.108,0.108,0.072,0.054,-9,0.016
