434250090461401 	 2013-10-05 	 2013-10-05 

 agency_cd         site_no            datetime X01_00065 X02_00060 X05_99909 X04_00045
      USGS 434250090461401 2013-10-05 07:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 07:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 07:25:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 07:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 07:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 08:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 08:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 08:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 08:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 09:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 09:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 09:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 09:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 10:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 10:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 10:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 10:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 10:55:00     0.000  0.000000        NA        NA
      <NA>            <NA> 2013-10-05 10:57:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 11:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 11:05:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 11:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 11:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 11:35:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 11:40:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 11:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 11:50:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 12:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 12:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 12:20:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 12:25:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 12:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 12:40:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 12:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 13:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 13:05:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 13:10:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 13:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 13:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 13:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 13:50:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 14:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 14:05:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 14:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 14:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 14:40:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 14:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 15:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 15:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 15:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 15:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 16:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 16:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 16:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 16:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 17:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 17:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 17:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 17:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 18:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 18:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 18:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 18:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 19:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 19:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 19:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 19:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 20:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 20:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 20:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 20:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 21:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 21:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 21:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 21:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 22:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 22:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 22:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 22:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 23:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 23:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 23:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 23:45:00     0.000  0.000000        NA        NA
