434250090461401 	 2013-10-05 	 2013-10-05 

 agency_cd         site_no            datetime X01_00065 X02_00060 X05_99909 X04_00045
      USGS 434250090461401 2013-10-05 00:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 00:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 00:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 00:45:00     0.000  0.000000        NA        NA
      <NA>            <NA> 2013-10-05 00:53:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 01:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 01:15:00     0.000  0.000000        NA        NA
      <NA>            <NA> 2013-10-05 01:25:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 01:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 01:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 02:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 02:15:00     0.000  0.000000        NA        NA
      <NA>            <NA> 2013-10-05 02:19:00        NA        NA        NA      0.02
      <NA>            <NA> 2013-10-05 02:20:00        NA        NA        NA      0.02
      <NA>            <NA> 2013-10-05 02:21:00        NA        NA        NA      0.03
      <NA>            <NA> 2013-10-05 02:22:00        NA        NA        NA      0.03
      <NA>            <NA> 2013-10-05 02:23:00        NA        NA        NA      0.03
      <NA>            <NA> 2013-10-05 02:24:00        NA        NA        NA      0.04
      <NA>            <NA> 2013-10-05 02:25:00        NA        NA        NA      0.03
      <NA>            <NA> 2013-10-05 02:26:00        NA        NA        NA      0.04
      <NA>            <NA> 2013-10-05 02:27:00        NA        NA        NA      0.05
      <NA>            <NA> 2013-10-05 02:28:00        NA        NA        NA      0.07
      <NA>            <NA> 2013-10-05 02:29:00        NA        NA        NA      0.05
      USGS 434250090461401 2013-10-05 02:30:00     0.000  0.000000        NA      0.04
      <NA>            <NA> 2013-10-05 02:31:00        NA        NA        NA      0.06
      <NA>            <NA> 2013-10-05 02:32:00        NA        NA        NA      0.09
      <NA>            <NA> 2013-10-05 02:33:00        NA        NA        NA      0.08
      <NA>            <NA> 2013-10-05 02:34:00        NA        NA        NA      0.06
      USGS 434250090461401 2013-10-05 02:35:00     0.874  1.915000      1374      0.08
      <NA>            <NA> 2013-10-05 02:36:00        NA        NA        NA      0.05
      <NA>            <NA> 2013-10-05 02:37:00        NA        NA        NA      0.05
      <NA>            <NA> 2013-10-05 02:38:00        NA        NA        NA      0.05
      <NA>            <NA> 2013-10-05 02:39:00        NA        NA        NA      0.05
      USGS 434250090461401 2013-10-05 02:40:00     1.866 10.074000      1375      0.06
      <NA>            <NA> 2013-10-05 02:41:00        NA        NA        NA      0.04
      <NA>            <NA> 2013-10-05 02:42:00        NA        NA        NA      0.05
      <NA>            <NA> 2013-10-05 02:43:00        NA        NA        NA      0.05
      <NA>            <NA> 2013-10-05 02:44:00        NA        NA        NA      0.07
      USGS 434250090461401 2013-10-05 02:45:00     2.581 24.518020      1376      0.06
      <NA>            <NA> 2013-10-05 02:46:00        NA        NA        NA      0.06
      <NA>            <NA> 2013-10-05 02:47:00        NA        NA        NA      0.05
      <NA>            <NA> 2013-10-05 02:48:00        NA        NA        NA      0.03
      <NA>            <NA> 2013-10-05 02:49:00        NA        NA        NA      0.02
      USGS 434250090461401 2013-10-05 02:50:00     2.958 59.761010      1377      0.02
      <NA>            <NA> 2013-10-05 02:51:00        NA        NA        NA      0.02
      <NA>            <NA> 2013-10-05 02:53:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 02:55:00     2.937 57.282010        NA        NA
      <NA>            <NA> 2013-10-05 02:56:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 03:00:00     2.771 39.784000        NA      0.00
      <NA>            <NA> 2013-10-05 03:01:00        NA        NA        NA      0.01
      <NA>            <NA> 2013-10-05 03:03:00        NA        NA        NA      0.01
      <NA>            <NA> 2013-10-05 03:04:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 03:05:00     2.572 23.957010      1378        NA
      <NA>            <NA> 2013-10-05 03:06:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 03:10:00     2.376 17.620000        NA        NA
      USGS 434250090461401 2013-10-05 03:15:00     2.137 13.820000      1379        NA
      <NA>            <NA> 2013-10-05 03:19:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 03:20:00     1.857  9.964000      1380        NA
      <NA>            <NA> 2013-10-05 03:21:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 03:25:00     1.495  6.090000      1381        NA
      USGS 434250090461401 2013-10-05 03:30:00     1.050  2.819999      1382        NA
      USGS 434250090461401 2013-10-05 03:35:00     0.758  1.422000      1383        NA
      <NA>            <NA> 2013-10-05 03:39:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 03:40:00     0.619  0.946400        NA        NA
      <NA>            <NA> 2013-10-05 03:42:00        NA        NA        NA      0.01
      <NA>            <NA> 2013-10-05 03:43:00        NA        NA        NA      0.01
      <NA>            <NA> 2013-10-05 03:44:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 03:45:00     0.509  0.644600      1384      0.01
      <NA>            <NA> 2013-10-05 03:47:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 03:50:00     0.411  0.429400        NA        NA
      USGS 434250090461401 2013-10-05 03:55:00     0.318  0.269500        NA        NA
      <NA>            <NA> 2013-10-05 03:58:00        NA        NA        NA      0.01
      USGS 434250090461401 2013-10-05 04:00:00     0.244  0.170140      1385      0.00
      USGS 434250090461401 2013-10-05 04:05:00     0.186  0.109050        NA        NA
      USGS 434250090461401 2013-10-05 04:10:00     0.137  0.068100        NA        NA
      USGS 434250090461401 2013-10-05 04:15:00     0.097  0.041780        NA        NA
      USGS 434250090461401 2013-10-05 04:20:00     0.062  0.023290        NA        NA
      USGS 434250090461401 2013-10-05 04:30:00     0.025  0.008900        NA        NA
      USGS 434250090461401 2013-10-05 04:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 05:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 05:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 05:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 05:45:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 06:00:00     0.000  0.000000        NA      0.00
      USGS 434250090461401 2013-10-05 06:15:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 06:30:00     0.000  0.000000        NA        NA
      USGS 434250090461401 2013-10-05 06:45:00     0.000  0.000000        NA        NA
