DATE	TIME	TZCD	VALUE	PRECISION	REMARK	FLAGS	QA
20120307	092000	CST	0.00	2	 		W
20120307	092500	CST	0.00	2	 		W
20120307	093000	CST	0.00	2	 		W
20120307	093500	CST	0.00	2	 		W
20120307	094000	CST	0.00	2	 		W
20120307	094500	CST	0.00	2	 		W
20120307	095000	CST	0.00	2	 		W
20120307	095500	CST	0.00	2	 		W
20120307	100000	CST	0.00	2	 		W
20120307	100500	CST	0.00	2	 		W
20120307	101000	CST	0.00	2	 		W
20120307	101500	CST	0.00	2	 		W
20120307	102000	CST	0.00	2	 		W
20120307	102500	CST	0.00	2	 		W
20120307	103000	CST	0.00	2	 		W
20120307	103500	CST	0.00	2	 		W
20120307	104000	CST	0.00	2	 		W
20120307	104500	CST	0.00	2	 		W
20120307	105000	CST	0.00	2	 		W
20120307	105500	CST	0.00	2	 		W
20120307	110000	CST	0.00	2	 		W
20120307	110500	CST	0.00	2	 		W
20120307	111000	CST	0.00	2	 		W
20120307	111500	CST	0.00	2	 		W
20120307	112000	CST	0.00	2	 		W
20120307	112500	CST	0.00	2	 		W
20120307	113000	CST	0.00	2	 		W
20120307	113500	CST	0.00	2	 		W
20120307	114000	CST	0.00	2	 		W
20120307	114500	CST	0.00	2	 		W
20120307	115000	CST	0.00	2	 		W
20120307	115500	CST	0.00	2	 		W
20120307	120000	CST	0.00	2	 		W
20120307	120500	CST	0.00	2	 		W
20120307	121000	CST	0.00	2	 		W
20120307	121500	CST	0.00	2	 		W
20120307	122000	CST	0.00	2	 		W
20120307	122500	CST	0.00	2	 		W
20120307	123000	CST	0.00	2	 		W
20120307	123500	CST	0.00	2	 		W
20120307	124000	CST	0.00	2	 		W
20120307	124500	CST	0.00	2	 		W
20120307	125000	CST	0.00	2	 		W
20120307	125500	CST	0.00	2	 		W
20120307	130000	CST	0.00	2	 		W
20120307	130500	CST	0.00	2	 		W
20120307	131000	CST	0.00	2	 		W
20120307	131500	CST	0.00	2	 		W
20120307	132000	CST	0.00	2	 		W
20120307	132500	CST	0.00	2	 		W
20120307	133000	CST	0.00	2	 		W
20120307	133500	CST	0.00	2	 		W
20120307	134000	CST	0.00	2	 		W
20120307	134500	CST	0.00	2	 		W
20120307	135000	CST	0.00	2	 		W
20120307	135500	CST	0.00	2	 		W
20120307	140000	CST	0.00	2	 		W
20120307	140500	CST	0.00	2	 		W
