Start,Stop,estimated,type,frozen,number,num_split,peakDisch,stormRunoff,SSLoad,ChlorideLoad,NitrateLoad,AmmoniumLoad,TKNLoad,DissPLoad,TPLoad,TNLoad,OrgNLoad,stormName
1/31/2012 12:00,1/31/2012 21:00,N,S,Y,1,1,0.0903,1563.84,26.8476395,1.308212252,0.263595006,0.055647835,0.313385174,0.029093078,0.071365907,0.57698018,0.257737339,East SW1-1
2/4/2012 17:15,2/4/2012 19:15,Y,,Y,2,2,0.0356,190.08,0.80691248,0.03559908,0.020172812,0.005577189,0.028716591,0.000878111,0.00427189,0.048889403,0.023139402,
2/29/2012 4:30,2/29/2012 11:00,N,S,Y,3,3,0.0804,1399.68,5.94181008,0.26213868,0.148545252,0.041068393,0.211458535,0.006466087,0.031456642,0.360003787,0.170390142,East SW1-2a
2/29/2012 11:00,2/29/2012 17:30,N,B,Y,3,4,0.0796,1261.44,70.24453616,0.606370996,0.267748232,0.028349813,0.174036351,0.012363668,0.050084669,0.441784583,0.145686538,East SW1-2b
3/6/2012 21:00,3/7/2012 13:55,N,S,Y,4,5,0.1947,5365.44,794.1782576,5.828216652,2.00972988,0.077039645,2.210702868,0.060961806,0.817290151,4.220432748,2.133663223,East SW1-3
3/7/2012 21:00,3/8/2012 5:45,N,R,Y,5,6,0.2234,1114.56,276.7893196,1.934324556,0.6958002,0.03339841,1.0437003,0.015238024,0.390343912,1.7395005,1.01030189,East SW1-4
3/12/2012 1:35,3/12/2012 11:45,N,R,N,6,7,0.1245,1814.4,187.9145982,5.05183308,1.88027868,0.014725074,0.761173056,0.01676393,0.212494145,2.641451736,0.746447982,East SW1-5a
3/12/2012 11:45,3/12/2012 15:05,N,R,N,6,8,0.0548,362.88,7.29457512,1.112309436,0.414567468,0.002945015,0.065923024,0.003669942,0.012935411,0.480490492,0.062978009,East SW1-5b
3/12/2012 15:05,3/13/2012 3:45,N,R,N,6,9,0.1063,907.2,41.909826,2.52591654,1.04208216,0.007362537,0.180098982,0.009231489,0.044684936,1.222181142,0.172736445,East SW1-5c
3/30/2012 7:50,3/30/2012 9:35,Y,R,N,7,10,0.0158,51.84,2.3948472,0.144338088,0.059547552,0.000420716,0.01029137,0.000527514,0.002553425,0.069838922,0.009870654,
4/15/2012 7:20,4/15/2012 8:20,Y,R,N,8,11,0.0447,69.12,10.71424432,0.13160872,0.0755132,0.000431504,0.03883536,0.000560955,0.010614998,0.11434856,0.038403856,
4/19/2012 20:35,4/20/2012 2:55,N,R,N,9,12,0.6134,6350.4,984.3711969,12.09155115,6.93777525,0.03964443,3.5679987,0.051537759,0.975252978,10.50577395,3.52835427,East SW1-6
4/20/2012 2:55,4/20/2012 22:15,N,R,N,9,12,0.3216,3395.52,155.5906336,5.214617964,4.409107872,0.016958107,0.568096591,0.042183292,0.202861357,4.977204463,0.551138484,
4/29/2012 23:55,4/30/2012 1:00,Y,R,N,10,13,0.0081,17.28,6.85767732,0.025782364,0.00647256,0.000161814,0.021143696,8.31E-05,0.007119816,0.027616256,0.020981882,
5/2/2012 5:42,5/2/2012 7:02,N,R,N,11,14,0.2276,293.76,116.5805144,0.438300188,0.11003352,0.002750838,0.359442832,0.001412097,0.121036872,0.469476352,0.356691994,East SW1-7
5/2/2012 23:56,5/3/2012 9:50,N,R,N,12,15,8.0948,34093.44,25340.65277,18.09134458,14.89875436,0.063851804,64.70316179,0.315002235,20.26230593,79.60191615,64.63930999,East SW1-8
5/3/2012 9:50,5/4/2012 12:30,Y,R,N,12,16,8.4344,20295.36,15084.9451,10.76953077,8.86902534,0.038010109,38.51691005,0.187516536,12.06187446,47.38593539,38.47889994,East SW1-9
5/5/2012 3:31,5/5/2012 4:45,Y,R,N,13,17,0.0272,51.84,28.155636,0.047896944,0.01294512,0.000614893,0.085437792,0.000608421,0.047767493,0.098382912,0.084822899,
